SH600938	2024-01-02	2026-09-03
SH600939	2018-01-02	2020-06-30
SH600941	2022-07-01	2026-09-03
SH600956	2021-04-01	2026-01-04
SH600958	2015-07-01	2026-09-03
SH600959	2016-01-04	2026-06-30
SH600963	2014-01-02	2015-01-04
SH600967	2014-07-01	2025-01-01
SH600967	2026-01-05	2026-09-03
SH600968	2020-01-02	2026-09-03
SH600970	2014-01-02	2026-09-03
SH600971	2014-01-02	2020-01-01
SH600977	2017-07-03	2021-01-03
SH600977	2024-01-02	2026-09-03
SH600978	2014-01-02	2020-01-01
SH600981	2017-01-03	2017-07-02
SH600983	2014-01-02	2016-01-03
SH600985	2019-07-01	2025-01-01
SH600985	2025-07-01	2026-09-03
SH600988	2021-08-02	2026-09-03
SH600989	2020-01-02	2026-09-03
SH600993	2014-01-02	2020-01-01
SH600995	2023-07-03	2026-09-03
SH600996	2017-07-03	2021-01-03
SH600997	2014-01-02	2016-06-30
SH600998	2014-07-01	2017-01-02
SH600998	2019-01-02	2026-09-03
SH600999	2014-01-02	2026-09-03
SH601000	2014-01-02	2026-09-03
SH601001	2014-01-02	2014-06-30
SH601001	2015-01-05	2020-06-30
SH601001	2025-01-02	2026-09-03
SH601002	2014-01-02	2018-07-01
SH601003	2019-01-02	2023-04-02
SH601005	2015-07-01	2017-01-02
SH601005	2019-01-02	2024-01-01
SH601006	2014-01-02	2026-09-03
SH601009	2014-01-02	2026-09-03
SH601010	2014-01-02	2017-07-02
SH601011	2014-01-02	2015-06-30
SH601012	2014-07-01	2026-09-03
SH601016	2016-01-04	2026-09-03
SH601018	2014-01-02	2021-01-03
SH601018	2026-01-05	2026-09-03
SH601019	2018-07-02	2021-01-03
SH601019	2024-07-01	2026-09-03
SH601020	2017-07-03	2019-06-30
SH601021	2015-07-01	2026-09-03
SH601058	2022-07-01	2025-01-01
SH601058	2025-04-01	2026-09-03
SH601059	2024-01-02	2026-09-03
SH601061	2024-01-02	2024-06-30
SH601061	2025-01-02	2026-06-30
SH601066	2019-01-02	2026-09-03
SH601068	2019-07-01	2022-02-06
SH601077	2020-07-01	2025-01-01
SH601077	2025-07-01	2026-09-03
SH601088	2014-01-02	2026-09-03
SH601098	2014-01-02	2017-01-02
SH601098	2018-07-02	2026-09-03
SH601099	2014-01-02	2019-01-01
SH601099	2020-01-02	2022-02-06
SH601099	2025-01-02	2026-09-03
SH601100	2014-01-02	2015-01-04
SH601100	2019-01-02	2026-09-03
SH601101	2014-01-02	2016-06-30
